,paperId,title,year,externalIdDOI,citationCount,fields,authorIds
11,5a6178f4bcff6445bf902ad415a4986849aead87,Random effects won't solve the problem of generalizability,2022,10.1017/S0140525X2100011X,0,['Sociology'],"[None, None]"
12,29c7cce9b5ab810e200c6e0bba58b75e4552e5b1,Understanding and Reducing Online Misinformation Across 16 Countries on Six Continents,2022,10.31234/osf.io/a9frz,8,['Psychology'],"[None, None, None, None, None, None, None, None, None, None, None, None, None]"
13,9fafdd2a5ffb7e054ba4820cec514fb3315e3ee0,Peptide transport in Bacillus subtilis - structure and specificity in the extracellular solute binding proteins OppA and DppE.,2022,10.1099/mic.0.001274,0,"['Biology', 'Chemistry']","[None, None, None, None, None, None, None]"
14,1ba0822680eba3febabb3c2b648c812cc6514476,The Promise of AI in an Open Justice System,2022,10.1609/aimag.v43i1.19127,1,['Political Science'],"[None, None, None, None, None, None, None]"
15,287d5dcbda5140681e72f345be9b172e52074f6a,"Expression of the familial cardiac valvular dystrophy gene, filamin‐A, during heart morphogenesis",2010,10.1002/dvdy.22346,54,"['Biology', 'Medicine']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
16,91be47d2f99f63666e983a3c01c661fb2bc127c7,"Migración, remesas y escolarización: ¿estímulos o amenazas para la Educación para Todos en México?",2015,,2,[],[None]
17,1e75f73a62b37d008c6e65037bafc53d31a94f96,共語マップとトピックモデリング:中小コーパス(N,2017,,0,[],"[None, None]"
18,df5623230ee214e71bec000cf23dbfb7a46c090d,Video Streaming in Ultra High Definition (4K and 8K) on a Portable Device Employing a Versatile Video Coding Standard,2022,10.1016/j.ijleo.2022.170164,0,[],"[None, None, None, None, None, None]"
19,659e5481b2d96f7a251a92804b956a45dccf0cd9,KORELÁCIA MEDZI LETECKOU DOPRAVOU A EKONOMICKÝM RASTOM V ČÍNE,2020,10.26552/aer.c.2020.1.7,0,[],"[None, None, None, None, None, None]"
20,38dfe5dfbdf8a6fa2e486457b371f0c4d8bfb34c,Robots With Commonsense: Improving Object Recognition Through Size and Spatial Awareness,2022,,1,['Computer Science'],"[None, None, None]"
21,5eb19b74dfe6ffe7cc5d9594477d9b6cbaa2bf05,Analisis Sentimen atas Wabah Penyakit Covid-19 di Indonesia dengan CrowdTangle di Media Sosial Facebook,2022,,0,['Political Science'],"[None, None]"
22,bbe2fa67dea70507af28109f50629952199d22b0,Ephemeral Astroturfing Attacks: The Case of Fake Twitter Trends,2021,10.1109/EuroSP51992.2021.00035,16,"['Computer Science', 'Mathematics']","[None, None, None, None]"
23,0250b18e686a7026a3b0902e48c2af9d9472160a,Examination of Pre-school Teachers' Knowledge Levels of the Symptoms of Learning Disability According to Different Variables,2023,10.12973/ijem.9.1.215,0,['Education'],"[None, None, None]"
24,012c323a51819d12230ec19af946994f14919dfb,Analysis of Divided Society at the Standpoint of In-Group and Out-Group Using Opinion Dynamics,2021,10.1007/978-3-030-82193-7_29,1,[],"[None, None]"
25,1e0ec5974d42f8538f0e111a0591dd37d1a9b3db,[A case of focal nodular hyperplasia of the liver and review of previously reported 44 cases in Japan].,1987,,1,['Biology'],"[None, None, None, None, None, None, None, None]"
26,0829c507c4b72ed5ed85747d6729da8f0028b713,Efficient Visual Sign Assignment for Crowd Evacuation Guidance Considering Risks and Multiple Objectives,2022,10.1007/978-3-031-22953-4_1,0,[],[None]
27,278ee370f2649cfb844a42de5276153432685dcb,Anytime Information Cascade Popularity Prediction via Self-Exciting Processes,2022,,0,['Computer Science'],"[None, None, None]"
28,04deee6b53867da25ce6aa3275ab9f06d24b7153,Streamlining models with explanations in the learning loop,2022,10.1109/DSAA54385.2022.10032380,0,['Computer Science'],"[None, None, None, None]"
29,c987f900cb9c3f40a69963d0068a5e7f13587fe5,Collective decision strategies in the presence of spatio-temporal correlations,2023,10.1177/26339137221148675,0,['Psychology'],"[None, None, None, None]"
30,06418696aa6a8438b1920edf516d576a9d9b7baa,The decentralized evolution of decentralization across fields: from Governance to Blockchain,2022,10.48550/arXiv.2207.14260,0,['Computer Science'],"[None, None, None, None, None]"
31,5415a189cdf22e1a8134515a8ffbe792e1274c44,Linee guida per la valutazione del rischio e la sorveglianza sanitaria in edilizia,2008,,1,[],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
32,4b48580ea277d83328864cc9976a4dbf89cfa81a,Metabolic study of new psychoactive substance Methoxpropamine (MXPr) in mice by UHPLC-QTOF-HRMS.,2023,10.1002/dta.3449,0,"['Chemistry', 'Biology']","[None, None, None, None, None, None, None, None, None]"
33,11dd0e1bea184435d3624521d66daed9212301a2,Voto al candidato presidente e liste personali e regionali. Il Veneto in prospettiva comparata,2016,10.3280/DED2015-003003,0,[],"[None, None]"
34,076fd6a92b4c0d9400b76952efa569b60f2d8ccc,Severe novel H1N1 influenza A infection in the immediate postoperative period of a liver transplant patient,2010,10.1002/lt.22013,8,"['Medicine', 'Biology']","[None, None, None, None, None, None]"
35,ae060c0ce6cbcbfa4fa619442a75f658679522af,Sustainability of Stack Exchange Q\&A communities: the role of trust,2022,10.48550/arXiv.2205.07745,0,['Economics'],"[None, None, None, None]"
36,227aad34e51714cd039f54fdc55cd951fe4c3e71,Market fragmentation and market consolidation: Multiple steady states in systems of adaptive traders choosing where to trade.,2019,10.1103/PhysRevE.99.062309,2,['Economics'],"[None, None]"
37,22363e72207675796fe648668c730f75e98e718f,The politicization of medical preprints on Twitter during the early stages of COVID-19 pandemic,2022,10.51685/jqd.2022.003,0,['Economics'],"[None, None, None, None]"
38,c93e31c9f631cf236659760ec0b4f0d7b531995d,How to choose an approach to handling missing categorical data: (un)expected findings from a simulated statistical experiment,2021,10.1007/s11135-021-01114-w,3,['Mathematics'],"[None, None]"
39,03ded7bc1a4935c7920a9a08b433bda578e61a88,Dysregulation of MS risk genes and pathways at distinct stages of disease,2017,10.1212/NXI.0000000000000337,25,"['Biology', 'Medicine', 'Psychology']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
40,18388a488b8c56bffa8c60805d32f69b355c4f59,HoaxItaly: a collection of Italian disinformation and fact-checking stories shared on Twitter in 2019,2020,,1,['Computer Science'],"[None, None, None]"
41,4640bc4f9302670f8c11cca1c79be1bab626b85d,Weighted Belief Networks Unify Simple and Complex Contagion Dynamics,2023,10.48550/arXiv.2301.02368,0,['Psychology'],"[None, None, None]"
42,655f6d05f08cfe8859de99755abeb954e2b9ecc2,Predicting Seriousness of Injury in a Traffic Accident: A New Imbalanced Dataset and Benchmark,2022,10.48550/arXiv.2205.10441,0,['Computer Science'],"[None, None, None, None]"
43,dc1306e6051b0be8256236e83af0d9be8586b5fd,The Impact of Deniers on Epidemics: A Temporal Network Model,2023,10.1109/LCSYS.2022.3219772,0,['Medicine'],"[None, None, None]"
44,a7682f7c68844391c28271076f71d9e1b21d5f81,Análisis y valoración del control postural mediante indicadores basados en acelerometría. Propuesta de aplicación en hipoterapia,2016,,1,[],"[None, None]"
45,2358d597c6138ae3320fee172e02f9d34b00a61a,Åáì Ååååå Äääóööøóöý¸èèö Blockin Blockinôøùùð Óñôùøøòò Ìì Blockin Blockinòò Blockin Blockinð Êêôóöø ¾½ Ôôôôö× Òò Áòøðº Óòòº Óò Óñôùøøö Îî××óò Ëý×øøñ×¸½½½½,2007,,0,[],"[None, None]"
46,303c88b4c835ee9c8244f34905e94acc07a577c0,The Dynamic Resilience of Urban Labour Networks,2022,,0,['Economics'],"[None, None]"
47,fcbb961b9d9e0895c895794e1fae9c7c0ff95724,Field Inspection of High-Density Polyethylene (HDPE) Storage Tanks Using Infrared Thermography and Ultrasonic Methods,2023,10.3390/app13031396,0,['Materials Science'],"[None, None, None, None, None, None, None, None]"
48,0adf1a0caf60b805919c7ef5d6b09a99d6adedf9,Cross-Lingual Knowledge Transfer for Clinical Phenotyping,2022,10.48550/arXiv.2208.01912,1,['Biology'],"[None, None, None, None, None, None, None, None]"
49,3d4c25a4e213a4175f5993cb0aefc04d60e6723d,reg-sgc: An open-source software for regularized Simple Graph Convolution,2023,10.1016/j.softx.2022.101293,0,['Computer Science'],"[None, None]"
50,28dc94d8159a9904d557ab823258590e8dcbf631,Distributional data analysis with accelerometer data in a NHANES database with nonparametric survey regression models,2021,,5,['Computer Science'],"[None, None]"
51,2129744c34e1a5364393722bfa063ec465fc91fb,Single molecule-level study of donor-acceptor interactions and nanoscale environment in blends,2017,10.1117/12.2251276,1,"['Chemistry', 'Physics']","[None, None, None, None, None, None, None]"
52,537bc84def55b5a9f896933394201cbbf558ad9a,Elements of Gaelic Grammar: In Four Parts,2010,,1,[],"[None, None]"
53,45c19f49b1b480fcd5c96ac0e72f44fff46f4215,Vaccines and more: The response of Dark Web marketplaces to the ongoing COVID-19 pandemic,2022,10.1371/journal.pone.0275288,0,['Business'],"[None, None, None, None, None, None, None, None]"
54,0c538908daf823d13800dbf9f4fd716a73dce06c,Implementatie van autonome bezorgrobots voor een kleinschalige thuisbezorgdienst,2017,,6,[],"[None, None, None]"
55,58fd3609571d4c49478c9c8d260e272aab31f960,A Survey of Explainable Graph Neural Networks for Cyber Malware Analysis,2022,10.1109/BigData55660.2022.10020943,0,['Computer Science'],"[None, None, None, None, None]"
56,0570bbf61d3eb7bbcb9e5dc2d6c6d7a43fe49bee,TOLAC outcomes after a successful external cephalic version,2023,10.1016/j.ajog.2022.11.1179,0,['Medicine'],"[None, None, None, None, None, None, None, None, None]"
57,2e244bff608ec69d57914489060a479613b6b7c9,Shifting Polarization and Twitter News Influencers between two U.S. Presidential Elections,2021,,7,['Political Science'],"[None, None, None, None, None, None, None, None, None, None]"
58,af4f97b3e5d58bcc72598e37df0a8cabba396541,Observations on the Agronomic and Use Value of Certain Soy Varieties in The Pedoclimatic Conditions of the South Muntenia Region,2022,10.18662/lumproc/gidtp2022/12,0,['Agricultural And Food Sciences'],"[None, None, None]"
59,a174a3d5ad6ab5555b7101bd0c9d0ee2d243d18c,Speech recognition can help evaluate shared decision making and predict medication adherence in primary care setting,2022,10.1371/journal.pone.0271884,0,['Medicine'],"[None, None, None, None, None, None]"
60,8149663b5f8e967c11433f643ac9f893493ca96c,"Proposta metodològica per a l’avaluació de la vulnerabilitat social en poblacions afectades pel perill d’inundació: el cas d’Águilas (Múrcia, sud-est ibèric)",2016,10.1234/NO.DISPONIBLE.A.RACO.308738,1,[],"[None, None, None]"
61,76ac56821bff2fe5fe153e23c940c556fba963f3,Epidemic Spreading and Digital Contact Tracing: Effects of Heterogeneous Mixing and Quarantine Failures,2021,10.1103/PhysRevE.105.044313,8,['Mathematics'],"[None, None, None, None]"
62,2db6edd25d47b2bef4673cd175ddc071ad9c8775,Byzantine-Robust Federated Linear Bandits,2022,10.1109/CDC51059.2022.9992971,2,['Computer Science'],"[None, None, None, None]"
63,07e888a170322b002fe9e2a98dc9b8bcefb8806b,Synthesis of polyphenolic mesoporous nanocomposite for removal of acid dye from aqueous media: Adsorption studies Adsorption studies of anionic dye on polyohenolic mesoporous compound,2020,,0,"['Chemistry', 'Engineering']","[None, None, None, None, None]"
64,6bbab064346f53f2b91eb808d3b0083eebc455fb,Using Twitter to Evaluate the Perception of Service Delivery in Data-Poor Environments,2021,10.1596/1813-9450-9575,0,['Computer Science'],"[None, None, None]"
65,ffcffd87e95c077c1e9f161d7b8cfb3955becedb,Global patterns of migration of scholars with economic development.,2023,10.1073/pnas.2217937120,0,['Economics'],"[None, None, None, None, None]"
66,7aedb631c00f7bf23b66866044ab50055d5b9d50,High spatial resolution dataset of La Mobilière insurance customers,2022,10.1038/s41597-022-01174-z,0,['Economics'],"[None, None, None, None]"
67,cd5054d253fba1518d98e36dba1e3da551a839ff,Man-Bites-Dog Contagion: Disproportionate Diffusion of Information about Rare Categories of Events,2021,10.2139/ssrn.3774989,0,[],"[None, None]"
68,8c453d2c196ace03dcf26e1223c2505c5fead98e,Collective self-understanding: A linguistic style analysis of naturally occurring text data,2022,10.3758/s13428-022-02027-8,0,['Psychology'],"[None, None, None, None, None]"
69,3fd6052087fca380ec183d8ade46fe3094003e49,"Valentin Janda, Die Praxis des Designs. Zur Soziologie arrangierter Ungewissheiten. Bielefeld: transcript 2018, 302 S., kt., 32,99 €",2020,10.1515/srsr-2020-0015,0,[],"[None, None, None]"
70,57137bd8b6e5e55b80c93cb4e9d8336114c0e070,Customer Preference Mining in the Travel Companion of the Shift2Rail Initiative,2020,,0,['Business'],"[None, None, None]"
71,57137bd8b6e5e55b80c93cb4e9d8336114c0e070,Customer Preference Mining in the Travel Companion of the Shift2Rail Initiative,2020,,0,['Business'],"[None, None, None]"
72,ee36cc7b04784b41b75435b37c4ebb14ea3516ee,Laboratoriumsurveillance van soa: Van toegevoegde waarde?,2020,,0,[],"[None, None, None, None, None]"
73,81346079b2297b523869f8ed0063000a3a28748b,Model for assessing the readiness of complex technical systems taking into account the metrological characteristics of control tools,2022,10.17586/0021-3454-2022-65-9-640-647,0,[],"[None, None, None]"
74,e8747fd5b17caff96be173b38c4974aa4a8ae82a,Some insights into writing and presenting academic projects.,2013,,0,['Education'],"[None, None]"
75,35e6a2c75a27898714463e7957eaa56969ca2a47,Cyberspace Operations Functional Capability Reference Architecture from Document Text,2020,10.2139/ssrn.3701295,0,['Computer Science'],"[None, None, None]"
76,ced2f230ce722e8e668464190454b117554fe6a8,“Nobody Knows How You’re Supposed to Interpret it:” End-user Perspectives on Prescription Drug Monitoring Program in Massachusetts,2021,10.1097/ADM.0000000000000901,2,"['Medicine', 'Political Science']","[None, None, None, None, None, None, None]"
77,2108ce4f574a15e2978c150519275c1111e3d1ef,The Politics of Force,2022,10.1093/oso/9780197616543.001.0001,2,"['Law', 'Political Science']","[None, None]"
78,2ccdf2855036e6aa9cd9bde79b04a3f27b5f8d01,Modern ağ trafiği analizi için derin paket incelemesi hakkında kapsamlı bir çalışma: sorunlar ve zorluklar,2022,10.28948/ngumuh.1184020,0,['Computer Science'],"[None, None, None]"
79,a2303dbcdb71433e13c03b913c0b09535b2fbf6f,Molecular Dipole-Modulated Charge Transport across Organic Monolayer-Modified Metal–Semiconductor Junctions,2023,10.1021/acs.jpcc.2c06608,0,['Physics'],"[None, None, None, None]"
80,e04223b866def0c23e03c4c668013ed46e501a8a,Practicing Information Sensibility: How Gen Z Engages with Online Information,2023,10.48550/arXiv.2301.07184,0,['Psychology'],"[None, None, None, None, None, None]"
81,1da056b5eff6ca200134728935d163e8c88f9566,Graph-Based Conversation Analysis in Social Media,2022,10.3390/bdcc6040113,2,['Computer Science'],"[None, None, None, None]"
82,94f2a4e6a588add17c85da3e4a229cc8a98d90d2,"Beyond Digital ""Echo Chambers"": The Role of Viewpoint Diversity in Political Discussion",2022,10.48550/arXiv.2212.09056,0,['Sociology'],"[None, None, None, None, None, None, None, None]"
83,7f8c1bb88862e68ce9c289fa45d81a6200ae9276,A Straightforward Quadrature Signal Generator for Single-Phase SOGI-PLL With Low Susceptibility to Grid Harmonics,2022,10.1109/tie.2021.3095813,12,['Engineering'],"[None, None, None]"
84,218960c69c5573062181c5abf9897465309ff27d,A deep-learning model of prescient ideas demonstrates that they emerge from the periphery,2022,10.1093/pnasnexus/pgac275,0,['Computer Science'],"[None, None, None]"
85,14ec262b1dc4d08d25d3933d92675ee48b4b1fbe,"Dietary pattern recognition on Twitter: a case example of before, during, and after four natural disasters",2020,10.1007/s11069-020-04024-6,13,['Agricultural And Food Sciences'],"[None, None, None, None]"
86,26d06b1b631c2c62c7bf7ed29eb975db1875c9da,Organic food market segmentation based on the neobehavioristic theory of consumer behavior,2022,10.1108/bfj-12-2021-1269,0,['Business'],"[None, None, None, None]"
87,8ab24321c886785065cb2fd3f1206696ddef20f1,Through a fair looking-glass: mitigating bias in image datasets,2022,10.48550/arXiv.2209.08648,2,['Computer Science'],"[None, None, None, None]"
88,389a259ce711b386a6044de06f19de2fe826aebf,The Psychological Science Accelerator’s COVID-19 rapid-response dataset,2023,10.1038/s41597-022-01811-7,0,['Psychology'],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
89,b90cd019e5e2041e3086d975076d6152bafa1296,Autonomie web processes,2005,,1,['Computer Science'],"[None, None]"
90,2252536f0751842f59702930387106d5bba698c5,Impedimetric Chemosensing of Volatile Organic Compounds Released from Li-Ion Batteries.,2022,10.1021/acssensors.2c00113,2,['Materials Science'],"[None, None, None, None, None]"
