,authorId,name,aliases,citationCount,field
21,10746443,Ahmad R Pratama,"[""Ahmad Raf'ie Pratama"", 'Ahmad Raf’ie Pratama', 'Ahmad Rafie Pratama', 'Ahmad R. Pratama', 'Ahmad M.r. Pratama']",80,Biology
22,1379954385,Ahmed Furkan Özkalay,,96,Biology
23,40584518,A. Kurnaz,"['A Kurnaz', 'Ahmet Kurnaz']",96,Biology
24,2062916957,Akira Ishii,['Akira Ishii Ishii'],97,Biology
25,2057632364,A. Matsui,"['A Matsui', 'Akira Matsui']",98,Biology
26,73354569,Akira Tsurushima,,98,Biology
27,133558401,A. Aravamudan,"['A S Aravamudan', 'Akshay Aravamudan']",98,Biology
28,26582424,A. Perotti,"['A. Perotti', 'Alan Perotti']",98,Computer Science
29,48981140,Albert B. Kao,"['Albert B Kao', 'Albert Kao']",98,Computer Science
30,150007688,A. Bracci,"['A. Bracci', 'Alberto Bracci']",98,Computer Science
31,2078468831,A. Cottica,"['A Cottica', 'A. Cottica', 'Alberto Cottica']",99,Computer Science
32,6125979,A. Salomone,"['A Salomone', 'A. Salomone', 'Alberto Salomone']",99,Computer Science
33,2079565812,A. Stefanelli,"['A. Stefanelli', 'Alberto Stefanelli']",99,Computer Science
34,145809552,A. Andrade,"['Alejandro Andrade', 'A Andrade']",107,Biology
35,31612660,A. Tomašević,"['Aleksandar Tomasevic', 'Aleksandar Tomašević']",107,Biology
36,3499140,Aleksandra Alorić,['Aleksandra Aloric'],109,Biology
37,2153876524,A. Urman,"['A. Urman', 'Aleksandra Urman']",109,Biology
38,104473680,Aleksei Rotmistrov,['Aleksei N. Rotmistrov'],112,Biology
39,2064689883,A. Russo,"['A Russo', 'Alessandra D. Russo', 'Alessandra Russo']",137,Biology
40,150892645,Alessandro Artoni,,138,Biology
41,1769960,A. Flammini,"['A Flammini', 'A. Flammini', 'Alessandro Flammini']",138,Biology
42,1785816,A. Provetti,"['A. Provetti', 'Alessandro Provetti']",138,Computer Science
43,144641844,A. Rizzo,"['A. Rizzo', 'Alessandro Rizzo', 'Alessandro Minuto Rizzo']",138,Computer Science
44,108433277,A. Arenas,"['A Alex Arenas', 'Apolo Arenas']",139,Computer Science
45,2069315974,A. Pentland,"['A. Pentland', 'Alex Pentland']",139,Computer Science
46,47193909,A. Rutherford,"['A. Rutherford', 'Alexander C. Rutherford', 'Alex Rutherford']",139,Computer Science
47,47259740,A. Brand,"['A.s. Brand', 'Alexander Brand', 'Alexander S Brand', 'Alexander S. Brand']",139,Computer Science
48,2047997575,A. Loser,"['A. Loser', 'Alexander Loser']",140,Biology
49,1961938,Alexander V. Mantzaris,"['Alexander V. Mantzaris', 'Alexander Mantzaris', 'Alexander V Mantzaris', 'Alexander Vassilios Mantzaris']",140,Computer Science
50,119589961,Alexander Petersen,"['Alexander Petersen', 'Alex Petersen', 'Alexander Maurice Petersen']",145,Computer Science
51,2070171501,A. Robertson,"['A. Robertson', 'Alexander J. Robertson', 'Alexander Robertson']",146,Computer Science
52,2079851500,A. Stewart,"['Alexander Stewart', 'Alexander Stewart Stewart']",147,Computer Science
53,1799601,A. Teytelboym,"['A. Teytelboym', 'Alex Teytelboym', 'Alexander Teytelboym']",147,Computer Science
54,123007418,A. Verbraeck,"['A. Verbraeck', 'Alexander Verbraeck']",153,Computer Science
55,2978541,Alex Waagen,['Alexander Waagen'],153,Computer Science
56,30695829,I. Olteanu,"['I. Olteanu', 'Ioana Olteanu', 'Ioana Alexandra Olteanu']",153,Computer Science
57,40685732,A. Bovet,"['A Bovet', 'A. Bovet', 'Alexandre Bovet']",160,Computer Science
58,89089891,S. Cernat,"['S Alexandru Cernat', 'S. Cernat', 'Sorina Cernat']",160,Computer Science
59,2180386945,Alexis Perrier,,160,Computer Science
60,2065463689,A. Morales,"['Alfredo Morales', 'Alfredo Pérez Morales']",161,Computer Science
61,3028190,Ali Faqeeh,,169,Computer Science
62,1688304,A. Jadbabaie,"['A Jadbabaie', 'A. Jadbabaie', 'Ali Jadbabaie']",171,Computer Science
63,87989962,A. Tafti,"['Ali Tafti', 'Alireza Golshan Tafti']",171,Computer Science
64,2088198191,Alia Braley,,171,Computer Science
65,2128916708,Aliakbar Akbaritabar,,171,Computer Science
66,2026324797,A. Battiston,"['A Battiston', 'Alice Battiston']",171,Computer Science
67,2044976791,Alice J. Jang,"['Alice Jang', 'Alice Jayoung Jang']",171,Computer Science
68,1980629843,Alicia Cork,['Alice Cork'],171,Computer Science
69,2079730487,A. Vogelgesang,"['A. Vogelgesang', 'Alina Vogelgesang']",171,Computer Science
70,2131876967,A. Sabet,"['Ali Sabet', 'Alireza Javadian Sabet']",171,Computer Science
71,2131876967,A. Sabet,"['Ali Sabet', 'Alireza Javadian Sabet']",171,Computer Science
72,4834218,A. V. Dam,"['A. P. Van Dam', 'Alje P Van Dam', 'Alje P. Van Dam', 'Alje Van Dam']",171,Computer Science
73,1506853429,A. Baranovsky,"['A. Baranovsky', 'A.m. Baranovsky', 'Alla Baranovsky']",171,Computer Science
74,118957299,Loseva Alla Vladimirovna,,171,Computer Science
75,143835450,A. Moulton,"['A. Moulton', 'Allen. Moulton', 'Allen Moulton']",171,Computer Science
76,15756426,A. Morgan,"['A Morgan', 'Allison Morgan', 'Allison Morgan*', 'Allison J. Morgan']",173,Computer Science
77,114436981,Allissa V Richardson,"['Allissa Richardson', 'Allissa V. Richardson', 'Allissa Verlyn Richardson']",175,Computer Science
78,2079246426,Alper Özbilen,['Alper Özbi̇len'],175,Computer Science
79,2048868599,Alvin G. C. Zhou,['Alvin G Zhou'],175,Computer Science
80,39920301,Amelia Hassoun,,175,Computer Science
81,107907861,Amin Endah Sulistiawati,,177,Computer Science
82,52139981,A. E. Fard,"['A. Ebrahimi Fard', 'Amir Ebrahimi Fard']",177,Computer Science
83,2005828186,A. Ghasemian,"['A Ghasemian', 'Amir. Ghasemian', 'Amiramir Ghasemian', 'Amir Ghasemian']",189,Computer Science
84,3727566,Amir Goldberg,,189,Computer Science
85,49018691,A. Karami,"['Amir Karami', 'A. R. Karami', 'Amir R. Karami', 'A. Karami', 'Amir Reza Karami']",202,Computer Science
86,32542951,A. Tohidi,"['Amirhossein Tohidi', 'Amir Tohidi', 'A H Tohidi', 'A. H. Tohidi', 'A. Tohidi']",202,Computer Science
87,153358349,Amirarsalan Rajabi,['Amirarsalan Rajabi'],204,Computer Science
88,40484649,A. Goldenberg,"['A. Goldenberg', 'Amit Goldenberg']",204,Computer Science
89,2064342778,A. Sheth,"['A. Sheth', 'Amit P. Sheth', 'Amit Sheth']",205,Computer Science
90,2700787,A. Bhondekar,"['Amol Purushottam Bhondekar', 'Amol P Bhondekar', 'A. P. Bhondekar', 'Amol Bhondekar', 'Amol P. Bhondekar']",207,Computer Science
